"","x"
"1162",7523
"1163",7533
"1164",7537
"1165",7540
"1166",7541
"1167",7548
"1168",7559
"1169",7560
"1170",7579
"1171",7585
"1172",7586
"1173",7588
"1174",7589
"1175",7590
"1176",7595
"1177",7602
"1178",7618
"1179",7631
"1180",7632
"1181",7633
"1182",7642
"1183",7647
"1184",7656
"1185",7660
"1186",7667
"1187",7685
"1188",7717
"1189",7719
"1190",7720
"1191",7722
"1192",7729
"1193",7744
"1194",7750
"1195",7762
"1196",7764
"1197",7769
"1198",7771
"1199",7778
"1200",7783
"1201",7785
"1202",7797
"1203",7806
"1204",7807
"1205",7809
"1206",7819
"1207",7820
"1208",7840
"1209",7846
"1210",7847
"1211",7848
"1212",7849
"1213",7850
"1214",7851
"1215",7852
"1216",7853
"1217",7858
"1218",7874
"1219",7893
"1220",7897
"1221",7898
"1222",7904
"1223",7908
"1224",7923
"1225",7927
"1226",7928
"1227",7929
"1228",7945
"1229",7953
"1230",7958
"1231",7960
"1232",7961
"1233",7963
"1234",7976
"1235",7978
"1236",7980
"1237",7983
"1238",7985
"1239",8008
"1240",8014
"1241",8016
"1242",8022
"1243",8025
"1244",8031
"1245",8033
"1246",8051
"1247",8055
"1248",8059
"1249",8060
"1250",8071
"1251",8103
"1252",8119
"1253",8120
"1254",8124
"1255",8126
"1256",8133
"1257",8136
"1258",8139
"1259",8148
"1260",8175
"1261",8185
"1262",8190
"1263",8194
"1264",8195
"1265",8196
"1266",8197
"1267",8198
"1268",8199
"1269",8200
"1270",8201
"1271",8222
"1272",8231
"1273",8232
"1274",8239
"1275",8240
"1276",8241
"1277",8243
"1278",8245
"1279",8253
"1280",8260
"1281",8261
"1282",8264
"1283",8291
"1284",8292
"1285",8293
"1286",8294
"1287",8295
"1288",8296
"1289",8297
"1290",8304
"1291",8305
"1292",8306
"1293",8312
"1294",8322
"1295",8325
"1296",8330
"1297",8331
"1298",8335
"1299",8342
"1300",8349
"1301",8371
"1302",8392
"1303",8395
"1304",8396
"1305",8397
"1306",8407
"1307",8408
"1308",8409
"1309",8416
"1310",8417
"1311",8419
"1312",8422
"1313",8427
"1314",8453
"1315",8467
"1316",8468
"1317",8469
"1318",8470
"1319",8479
"1320",8487
"1321",8490
"1322",8491
"1323",8497
"1324",8498
"1325",8509
"1326",8514
"1327",8518
"1328",8520
"1329",8531
"1330",8538
"1331",8539
"1332",8542
"1333",8546
"1334",8547
"1335",8552
"1336",8569
"1337",8578
"1338",8610
"1339",8629
"1340",8632
"1341",8635
"1342",8638
"1343",8641
"1344",8642
"1345",8651
"1346",8678
"1347",8679
"1348",8684
"1349",8693
"1350",8705
"1351",8707
"1352",8714
"1353",8725
"1354",8726
"1355",8728
"1356",8744
